geotype,strategy,scenario,metric,per_user_cost
Rural 3,Small Cells,Scenario 2 (100 Mbps),Macro Civil Works,0
Rural 3,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell RAN,0
Rural 3,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,88.56693856
Rural 3,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,88.56693856
Rural 3,Small Cells,Scenario 3 (300 Mbps),Small Cell RAN,88.56693856
Rural 3,Hybrid,Scenario 2 (100 Mbps),Small Cell RAN,88.56693856
Rural 3,Hybrid,Scenario 1 (30 Mbps),Macro RAN,75.65174917
Rural 3,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Rural 3,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,75.65174917
Rural 3,Hybrid,Scenario 2 (100 Mbps),Macro RAN,75.65174917
Rural 3,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Rural 3,Hybrid,Scenario 2 (100 Mbps),Macro Civil Works,19.20636791
Rural 3,Hybrid,Scenario 3 (300 Mbps),Macro RAN,75.65174917
Rural 3,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Rural 3,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,75.65174917
Rural 3,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,25.60849055
Rural 3,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Rural 3,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
Rural 3,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,25.60849055
Rural 3,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Rural 3,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,25.60849055
Rural 3,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Rural 3,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
Rural 3,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,19.20636791
Rural 3,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,19.20636791
Rural 3,Small Cells,Scenario 3 (300 Mbps),Macro Civil Works,0
Rural 3,Spectrum Integration,Scenario 3 (300 Mbps),Macro Civil Works,19.20636791
Rural 3,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,25.60849055
Rural 3,Hybrid,Scenario 1 (30 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Small Cells,Scenario 1 (30 Mbps),Small Cell Civil Works,460.5480805
Rural 3,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell RAN,0
Rural 3,Hybrid,Scenario 1 (30 Mbps),Macro Civil Works,19.20636791
Rural 3,Small Cells,Scenario 1 (30 Mbps),Macro Civil Works,0
Rural 3,Spectrum Integration,Scenario 1 (30 Mbps),Macro Civil Works,19.20636791
Rural 3,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,75.65174917
Rural 3,Hybrid,Scenario 1 (30 Mbps),Macro Backhaul,25.60849055
Rural 3,Small Cells,Scenario 1 (30 Mbps),Macro Backhaul,0
Rural 3,Spectrum Integration,Scenario 1 (30 Mbps),Macro Backhaul,25.60849055
Rural 3,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Rural 4,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,88.40038493
Rural 4,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,996.4304434
Rural 4,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Rural 4,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,996.4304434
Rural 4,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,996.4304434
Rural 4,Small Cells,Scenario 2 (100 Mbps),Macro Civil Works,0
Rural 4,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,53.04023096
Rural 4,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,53.04023096
Rural 4,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,0
Rural 4,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,0
Rural 4,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,88.40038493
Rural 4,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Rural 4,Hybrid,Scenario 1 (30 Mbps),Macro RAN,45.02258685
Rural 4,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Rural 4,Hybrid,Scenario 3 (300 Mbps),Small Cell RAN,191.6212391
Rural 4,Small Cells,Scenario 3 (300 Mbps),Small Cell RAN,191.6212391
Rural 4,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell RAN,0
Rural 4,Hybrid,Scenario 2 (100 Mbps),Macro Civil Works,53.04023096
Rural 4,Hybrid,Scenario 3 (300 Mbps),Macro RAN,208.9195764
Rural 4,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Rural 4,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,208.9195764
Rural 4,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,88.40038493
Rural 4,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Rural 4,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,88.40038493
Rural 4,Hybrid,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Rural 4,Small Cells,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Rural 4,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell Civil Works,0
Rural 4,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell RAN,0
Rural 4,Hybrid,Scenario 1 (30 Mbps),Macro Civil Works,11.43027593
Rural 4,Small Cells,Scenario 1 (30 Mbps),Macro Civil Works,0
Rural 4,Spectrum Integration,Scenario 1 (30 Mbps),Macro Civil Works,11.43027593
Rural 4,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,996.4304434
Rural 4,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
Rural 4,Small Cells,Scenario 1 (30 Mbps),Macro Backhaul,0
Rural 4,Spectrum Integration,Scenario 1 (30 Mbps),Macro Backhaul,19.05045988
Rural 4,Small Cells,Scenario 3 (300 Mbps),Macro Civil Works,0
Rural 4,Spectrum Integration,Scenario 3 (300 Mbps),Macro Civil Works,53.04023096
Rural 4,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
Rural 4,Hybrid,Scenario 2 (100 Mbps),Small Cell RAN,191.6212391
Rural 4,Small Cells,Scenario 2 (100 Mbps),Small Cell RAN,191.6212391
Rural 4,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,208.9195764
Rural 4,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,45.02258685
Rural 4,Hybrid,Scenario 2 (100 Mbps),Macro RAN,208.9195764
