"","iso3","country","year","Price.Paid..USDm.","length","Band.Paired","bandwidth","price","dollar_per_mhz","dollar_per_mhz_per_single_year","Cluster","population","dollar_per_mhz_per_pop_per_single_year","metric"
"529","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"530","MYS","Malaysia",2006,"13.5",15,2100,30,13500000,450000,30000,"C6",31528585,0.000951517488019205,"Capacity Spectrum"
"531","MYS","Malaysia",2017,"215",15,1800,40,2.15e+08,5375000,358333.333333333,"C6",31528585,0.0113653477735627,"Capacity Spectrum"
"532","MYS","Malaysia",2017,"123",15,900,10,1.23e+08,12300000,820000,"C6",31528585,0.0260081446725249,"Coverage Spectrum"
"533","MYS","Malaysia",2017,"215",15,1800,40,2.15e+08,5375000,358333.333333333,"C6",31528585,0.0113653477735627,"Capacity Spectrum"
"534","MYS","Malaysia",2012,"6.4",5,2600,40,6400000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"535","MYS","Malaysia",2006,"13.5",15,2100,30,13500000,450000,30000,"C6",31528585,0.000951517488019205,"Capacity Spectrum"
"536","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"537","MYS","Malaysia",2017,"215",15,1800,40,2.15e+08,5375000,358333.333333333,"C6",31528585,0.0113653477735627,"Capacity Spectrum"
"538","MYS","Malaysia",2017,"123",15,900,10,1.23e+08,12300000,820000,"C6",31528585,0.0260081446725249,"Coverage Spectrum"
"539","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"540","MYS","Malaysia",2017,"161",15,1800,30,1.61e+08,5366666.66666667,357777.777777778,"C6",31528585,0.0113477270793402,"Capacity Spectrum"
"541","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"542","MYS","Malaysia",2017,"246",15,900,20,2.46e+08,12300000,820000,"C6",31528585,0.0260081446725249,"Coverage Spectrum"
"543","MYS","Malaysia",2012,"3.2",5,2600,20,3200000,160000,32000,"C6",31528585,0.00101495198722049,"Capacity Spectrum"
"544","MYS","Malaysia",2018,"30",16,2100,30,3e+07,1e+06,62500,"C6",31528585,0.00198232810004001,"Capacity Spectrum"
"545","NGA","Nigeria",2007,"150",15,2100,20,1.5e+08,7500000,5e+05,"C3",195874740,0.00255265176101829,"Capacity Spectrum"
"546","NGA","Nigeria",2007,"150",15,2100,20,1.5e+08,7500000,5e+05,"C3",195874740,0.00255265176101829,"Capacity Spectrum"
"547","NGA","Nigeria",2009,"2.2",10,800,20,2200000,110000,11000,"C3",195874740,5.61583387424024e-05,"Coverage Spectrum"
"548","NGA","Nigeria",2016,"96",10,2600,60,9.6e+07,1600000,160000,"C3",195874740,0.000816848563525853,"Capacity Spectrum"
"549","NGA","Nigeria",2007,"150",15,2100,20,1.5e+08,7500000,5e+05,"C3",195874740,0.00255265176101829,"Capacity Spectrum"
"550","NGA","Nigeria",2007,"200",15,900,10,2e+08,2e+07,1333333.33333333,"C3",195874740,0.00680707136271544,"Coverage Spectrum"
"551","NGA","Nigeria",2007,"200",15,1800,30,2e+08,6666666.66666667,444444.444444444,"C3",195874740,0.00226902378757181,"Capacity Spectrum"
"552","NGA","Nigeria",2007,"150",15,2100,20,1.5e+08,7500000,5e+05,"C3",195874740,0.00255265176101829,"Capacity Spectrum"
"574","PAK","Pakistan",2014,"306.92",15,2100,20,306920000,15346000,1023066.66666667,"C3",212215030,0.0048208963647234,"Capacity Spectrum"
"575","PAK","Pakistan",2014,"147.5",15,2100,10,147500000,14750000,983333.333333333,"C3",212215030,0.00463366488854881,"Capacity Spectrum"
"576","PAK","Pakistan",2017,"295",15,1800,20,2.95e+08,14750000,983333.333333333,"C3",212215030,0.00463366488854881,"Capacity Spectrum"
"577","PAK","Pakistan",2014,"210",15,1800,20,2.1e+08,10500000,7e+05,"C3",212215030,0.00329854110710255,"Capacity Spectrum"
"578","PAK","Pakistan",2014,"300.9",15,2100,20,300900000,15045000,1003000,"C3",212215030,0.00472633818631979,"Capacity Spectrum"
"579","PAK","Pakistan",2016,"395",15,850,20,3.95e+08,19750000,1316666.66666667,"C3",212215030,0.00620439874907384,"Coverage Spectrum"
"580","PAK","Pakistan",2014,"147.5",15,2100,10,147500000,14750000,983333.333333333,"C3",212215030,0.00463366488854881,"Capacity Spectrum"
"589","PER","Peru",2016,"306",20,700,30,3.06e+08,10200000,510000,"C5",31989256,0.0159428528128319,"Coverage Spectrum"
"590","PER","Peru",2016,"290.21",20,700,30,290210000,9673666.66666667,483683.333333333,"C5",31989256,0.0151201807673593,"Coverage Spectrum"
"591","PER","Peru",2013,"105.51",20,1700,40,105510000,2637750,131887.5,"C5",31989256,0.0041228686281419,"Capacity Spectrum"
"592","PER","Peru",2016,"315",20,700,30,3.15e+08,10500000,525000,"C5",31989256,0.0164117602485034,"Coverage Spectrum"
"593","PER","Peru",2013,"152.23",20,1700,40,152230000,3805750,190287.5,"C5",31989256,0.00594848157768971,"Capacity Spectrum"
"617","PRY","Paraguay",2018,"36.325",5,700,30,36325000,1210833.33333333,242166.666666667,"C5",6956071,0.0348137140444177,"Coverage Spectrum"
"618","PRY","Paraguay",2016,"45",5,1700,30,4.5e+07,1500000,3e+05,"C5",6956071,0.0431277944115292,"Capacity Spectrum"
"619","PRY","Paraguay",2018,"24.215",5,700,20,24215000,1210750,242150,"C5",6956071,0.0348113180558393,"Coverage Spectrum"
"620","PRY","Paraguay",2018,"24",5,700,20,2.4e+07,1200000,240000,"C5",6956071,0.0345022355292233,"Coverage Spectrum"
"621","PRY","Paraguay",2016,"45",5,1700,30,4.5e+07,1500000,3e+05,"C5",6956071,0.0431277944115292,"Capacity Spectrum"
"622","ROU","Romania",2015,"1.9",10,3500,40,1900000,47500,4750,"C6",19466145,0.00024401338837248,"Capacity Spectrum"
"623","ROU","Romania",2006,"35",15,2100,30,3.5e+07,1166666.66666667,77777.7777777778,"C6",19466145,0.00399554086223943,"Capacity Spectrum"
"624","ROU","Romania",2012,"51.7",15,900,10,51700000,5170000,344666.666666667,"C6",19466145,0.0177059539352382,"Coverage Spectrum"
